oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E07000155,South Northamptonshire,282,9.233205536,54.34,89116,0.004095785,0.003164415,103.6088417,7.847,0,14069.97,10.81525212,66,121.3615077,129,976143,10,78990,4,28098,14,237657,15,242657
E07000029,Copeland,161,14.62794153,62,69647,0.002469597,0.002311657,210.0297433,25.949,0.2386,31279.02,8.458019363,21,121.441259,130,754707,5,49905,1,9930,7,62025,7,62025
E07000106,Canterbury,338,101.1026295,51.04,159965,0.002544307,0.002112962,632.0296909,16.876,0.0914,28067.21,19.44924451,190,121.5843748,131,963375,18,166803,14,219033,30,879847,30,879847
E07000082,Stroud,439,60.54315857,45.39,116627,0.004595848,0.003764137,519.1178592,10.893,0.0102,21082.52,14.22082379,143,121.934233,132,810108,5,48442,1,10000,7,208397,7,208397
E07000098,Hertsmere,137,40.2567476,50.84,102998,0.002611701,0.001330123,390.849799,12.913,0.0169,23691.01,12.59466343,111,122.2806601,133,1491647,10,650977,4,581444,14,867237,15,917237
E07000081,Gloucester,182,28.94942497,58.5,127158,0.001997515,0.00143129,227.6649913,21.999,0.2267,31344.75,15.66115722,163,123.1629722,134,532287,11,432495,10,552709,16,578470,16,578470
E07000028,Carlisle,222,25.66019873,60.14,108155,0.002348481,0.00205261,237.2539294,22.482,0.1792,30543.38,13.35166225,124,123.4493297,135,1142713,13,674928,15,735557,25,911392,27,923792
E07000137,East Lindsey,372,15.72301547,70.65,137887,0.002980702,0.002697861,114.0282657,28.855,0.2984,31694.27,17.02415625,175,123.4645489,136,1500430,5,39945,3,29765,9,115991,9,115991
E07000226,Crawley,91,9.074114255,58.41,110864,0.001343989,0.000820826,81.84906061,17.833,0.0298,24873.84,13.72380281,133,123.7895332,137,1497983,12,578799,7,567892,15,784815,16,814815
E07000079,Cotswold,379,38.70469378,48.9,85162,0.006434795,0.004450342,454.4831472,11.176,0,18477.81,10.54798793,63,123.857917,138,,16,859311,7,893242,20,1083242,20,1083242
E07000115,Tonbridge and Malling,256,44.64601572,55.7,125713,0.002831847,0.002036384,355.1423935,11.344,0.0193,23423.08,15.58152223,160,123.9451945,139,43385237,17,1476236,19,1311813,29,1956468,31,2091468
E07000133,Melton,112,6.251774372,58.11,50912,0.003162319,0.002199874,122.795694,13.119,0.0148,23687.05,6.330337547,7,124.338811,140,13749397,10,257347,12,148276,16,450017,17,455017
E07000208,Epsom and Ewell,91,14.89470276,47.92,78950,0.002127929,0.001152628,188.6599463,8.544,0.0122,22289.25,9.839320021,44,124.6272327,141,209070,15,442491,12,442729,21,642426,22,652426
E07000128,Wyre,156,19.68610104,63.77,109745,0.00179507,0.001421477,179.3803913,19.389,0.1425,31484.92,13.67894714,131,124.6430101,142,1856527,17,989524,17,847190,25,1364164,25,1364164
E07000111,Sevenoaks,318,56.87353822,54.38,118409,0.00361459,0.002685607,480.3143192,11.648,0.031,24266.14,14.82104222,152,125.168207,143,5501833,18,613021,10,506988,28,864844,28,864844
E07000068,Brentwood,139,30.78284337,59.15,76057,0.002537571,0.001827577,404.7338624,9.881,0.0012,20837.46,9.520567346,36,125.1767404,144,2524701,11,1182544,11,1130804,17,1353235,20,1378465.45
E07000201,Forest Heath,83,2.445526893,64.97,63691,0.002072506,0.001303167,38.39674197,18.016,0.0295,24890.69,7.981151935,16,125.3105138,145,4271406,9,63060,7,112339,17,383414,18,447662
E07000229,Worthing,133,21.43814855,52.99,107736,0.00176357,0.001234499,198.9877901,17.449,0.08,27303.03,13.56206597,130,125.8823974,146,1836287,16,153383,15,417422,30,760876,32,807369
E07000154,Northampton,299,63.37644916,58.38,222462,0.001730633,0.00134405,284.8866285,24.306,0.2743,31175.93,28.01766785,202,125.9436122,147,18055488.5,24,1091588,16,1096814,32,1296293,36,1314409
E07000169,Selby,178,18.46945674,59.17,85961,0.002466235,0.002070706,214.8585607,12.86,0.0339,25153.39,10.84233642,68,126.1308782,148,935062,11,100941,2,15276,14,210481,14,210481
E07000099,North Hertfordshire,287,33.91743654,45.63,131696,0.003151197,0.002179261,257.5434071,11.616,0.0244,23660.3,16.61685566,172,126.175857,149,17718376,33,911114,15,761851,40,1142713,40,1142713
E07000214,Surrey Heath,140,17.49977967,50.98,88067,0.002611648,0.001589699,198.7098422,7.731,0.0058,20810.36,11.15522394,74,126.6674684,150,4560239,21,413106,14,650121,34,935062,34,935062
E07000153,Kettering,168,10.90670328,60.99,97650,0.002171019,0.00172043,111.6917899,18.927,0.1615,30032.24,12.3938859,103,126.9215146,151,1394346,13,914770,12,1230811,21,1397597,21,1397597
E07000136,Boston,147,21.05892844,75.56,66902,0.002316822,0.002197244,314.7727787,24.367,0.1956,28742.93,8.504571688,22,127.1198423,152,3755777,35,1654961,17,1388123,40,1716837,40,1716837
E07000218,North Warwickshire,87,2.680307015,66.88,62787,0.002213834,0.001385637,42.68888488,16.482,0.05,26239.48,7.983135751,17,127.1463161,153,1960916,11,427939,4,370646,15,563533,15,563533
E07000064,Rother,243,30.9559914,58.53,92908,0.003508847,0.002615491,333.1897296,18.554,0.0883,28240.09,11.81587498,88,127.1782299,154,286830,12,138320,9,305373,20,500860,20,500860
E07000118,Chorley,159,12.88282713,56.83,112969,0.001788101,0.001407466,114.0386047,17.41,0.1288,29434.5,14.37970871,147,127.2889794,155,10532778,11,372158,6,846965,19,1126939,19,1126939
E07000239,Wyre Forest,170,7.717689379,63.15,99503,0.002180839,0.001708491,77.56237881,22.066,0.195,30344.51,12.74888141,112,128.1255983,156,2237045,25,1036044,9,1006178,31,1367443,31,1367443
E07000065,Wealden,365,54.54720552,54.5,156501,0.003437678,0.002332253,348.5422171,11.23,0.0211,22241.59,20.10480457,194,128.4643841,157,2091468,8,78589,6,334210,15,401117,15,401117
E07000035,Derbyshire Dales,263,37.65654316,51.56,71145,0.004961698,0.003696676,529.292897,12.261,0.0225,20811.97,9.143091516,30,128.5134797,158,93481,8,70457,7,572702,20,1450498,20,1450498
E07000069,Castle Point,78,4.848313505,72.7,89173,0.001155058,0.000874704,54.36974763,16.632,0.0695,27852.66,11.46040678,82,128.5187981,159,998402,19,1661321,11,4257861,50,6586275,52,6606275
E07000121,Lancaster,258,17.44069866,51.08,142283,0.002635592,0.001813288,122.5775297,23.321,0.2117,32074.9,18.30297579,182,128.637826,160,19224394.82,20,164529,8,82030,22,184667,23,204667
E07000077,Uttlesford,285,32.07511572,50.68,85119,0.004464338,0.003348254,376.8267451,9.668,0,16662.65,10.95126958,69,128.658344,161,2418833,16,595886,9,571553,21,963375,21,963375
E07000191,West Somerset,158,4.61835066,60.59,34403,0.005551841,0.004592623,134.2426724,23.293,0.06,25533.34,4.432952467,1,128.8536601,162,2504421,8,75025,2,15980,11,174405,11,174405
E07000033,Bolsover,52,1.796836418,70.83,77780,0.001041399,0.000668552,23.10152247,24.778,0.2021,29282.26,10.04374295,45,129.1301485,163,174405,14,126297,2,29710,19,234867,19,234867
E07000211,Reigate and Banstead,248,39.3498552,50.49,144100,0.002532963,0.001721027,273.0732491,10.344,0.0084,22043.9,18.74060429,185,130.0527709,164,953069.82,7,552304,4,649839,11,642652,12,782652
E07000042,Mid Devon,320,21.31035965,53.34,79510,0.004930197,0.004024651,268.021125,17.128,0.0266,24644.05,10.35855064,56,130.2798471,165,1280481,5,33981,5,35786,8,126231,8,126231
E07000215,Tandridge,188,42.68211477,52.84,86025,0.003615228,0.002185411,496.1594277,10.585,0,19013.31,11.2481935,80,130.7549375,166,400951,26,1196305,13,744066,31,1415034,31,1415034
E07000119,Fylde,117,18.13316259,56.96,77322,0.00225033,0.001513153,234.5149193,14.375,0.049,26359.81,10.1709255,49,131.5398658,167,3505051,9,101243,8,153619,15,246830,18,286830
E07000046,Torridge,217,8.246325771,60.83,66265,0.003893458,0.00327473,124.4446657,23.201,0.1069,28101.24,8.776980007,26,132.4527278,168,908512,16,177998,8,145806,21,337020,21,337020
E07000145,Great Yarmouth,115,8.524480304,71.5,98667,0.001520265,0.001165537,86.39646796,32.369,0.3507,32694.39,13.13421969,118,133.1166417,169,2257316,7,68712,3,39545,8,78661,8,78661
E07000165,Harrogate,471,49.42162599,49.03,157016,0.003846742,0.002999694,314.7553497,10.373,0.014,20564.46,20.94409755,196,133.3883015,170,822464,22,203833,5,36986,27,358674,28,366174
E07000142,West Lindsey,222,8.880066352,61.82,92812,0.002898332,0.002391932,95.67799802,19.235,0.1308,30243.76,12.39895446,104,133.5921482,171,531232,24,1457330,8,546473,27,1474909,27,1474909
E07000166,Richmondshire,209,9.563426348,56.78,52510,0.004494382,0.003980194,182.1258112,13.349,0.0231,21681.62,7.016627515,9,133.6245956,172,1933821,19,1133684,9,1026133,19,1133684,19,1133684
E07000125,Rossendale,87,3.618637316,60.68,69487,0.001654986,0.001252033,52.07646489,23.155,0.1965,30137.29,9.315824673,34,134.0657198,173,34412385,11,81731,8,91528,18,353607,18,353607
E07000217,Woking,180,40.13535824,43.85,99435,0.002564489,0.001810228,403.6341152,9.875,0.0137,21239.91,13.4881179,126,135.6475879,174,15276748.41,31,3826799,15,743332,37,4161871,38,4181871
E07000114,Thanet,197,28.74123864,63.85,139772,0.001624073,0.001409438,205.629444,31.619,0.3503,32673.95,19.17914381,188,137.2173526,175,176117,16,1489401,12,1539812,29,1856527,29,1856527
E07000030,Eden,292,27.62876756,53.32,52565,0.006239893,0.005555027,525.6114822,15.411,0,20660.91,7.216920828,11,137.2951741,176,15085437,16,623091,10,557220,19,644450,19,644450
E07000150,Corby,46,3.737612795,64.25,66854,0.000912436,0.000688067,55.90709299,25.765,0.2563,31128.16,9.181526726,33,137.336984,177,1039468,29,1788673,26,2778547,45,3242888,45,3242888
E07000110,Maidstone,301,53.6211665,58.75,164499,0.002486337,0.001829798,325.9665196,15.56,0.0716,27750.01,22.97135878,199,139.6443673,178,262492,12,807594,4,822602,18,1133060,18,1133060
E07000123,Preston,217,23.63341693,53.31,141302,0.002094804,0.001535718,167.2546527,27.404,0.3449,31503.9,19.85259504,192,140.4976224,179,428483,6,58595,5,48855,7,63966,7,63966
E07000061,Eastbourne,129,41.23343254,57.33,102465,0.001893329,0.001258966,402.4148006,21.322,0.1505,29511.65,14.45308864,148,141.0539076,180,2369320,13,101245,6,55566,15,110920,15,110920
E07000138,Lincoln,130,41.29869798,56.94,97065,0.001792613,0.001339309,425.4746611,28.924,0.3193,32090.6,13.75407321,134,141.6996158,181,879847,23,189453,15,407121,30,610301,31,612301
E07000207,Elmbridge,217,54.77897582,40.47,132670,0.002751187,0.001635637,412.8964786,7.527,0.0035,19426.91,19.08520987,187,143.8547514,182,337020,10,84070,6,129102,12,209070,12,209070
E07000148,Norwich,246,114.9397309,43.76,138872,0.002585114,0.001771415,827.6667068,28.785,0.3872,31251.08,19.98554066,193,143.9133926,183,806134,21,1798444,17,1874292,32,2290031,35,2342311
E07000223,Adur,65,25.66921835,54.57,63429,0.001576566,0.001024768,404.6921495,18.275,0.0897,26989.89,9.146009519,31,144.1928695,184,644450,13,113644,6,43344,16,194885,17,197885
E07000010,Fenland,143,11.28118855,71.39,99171,0.00182513,0.001441954,113.7549137,25.362,0.2114,30023.77,14.32022813,146,144.3993519,185,1076569,4,32311,1,2311,6,110410,6,110410
E07000008,Cambridge,300,369.3318421,26.15,130907,0.003957008,0.002291703,2821.329968,13.75,0.0325,24954.41,18.92655731,186,144.5801776,186,5102609.75,16,424747,8,310966,20,626246,20,626246
E07000073,Harlow,76,10.67245002,68.1,85397,0.001416912,0.000889961,124.974531,23.558,0.1237,27468.4,12.35842985,101,144.7173771,187,194155,38,1113034,23,906067,48,1525045,48,1525045
E07000168,Scarborough,255,25.11673048,61.99,107902,0.002817371,0.002363256,232.7735397,25.235,0.2335,31914.49,15.76411054,165,146.0965556,188,234867,22,529047,16,696378,35,1102852,36,1221852
E07000066,Basildon,171,17.42234461,68.62,181721,0.001276682,0.000941003,95.87414008,23.618,0.2529,31046.28,26.9417872,201,148.2590741,189,2342311,11,571602,5,37122,12,581121,13,587621
E07000167,Ryedale,215,30.45661838,55.26,53052,0.004919701,0.004052628,574.0899189,15.461,0,21031.04,7.899570912,15,148.9024148,190,7008647.8,9,78059,3,43955,11,109793,13,115293
E07000112,Shepway,207,20.66314409,62.25,110034,0.002253849,0.001881237,187.7887207,22.821,0.1704,30534.59,16.41036434,171,149.1390328,191,3242888,24,1570787,15,1186963,33,4283114,34,4283314
E07000120,Hyndburn,74,7.60948099,66.19,80228,0.001233983,0.000922371,94.84819502,32.102,0.4244,31956.61,12.15677014,95,151.5277726,192,8934604,18,137601,7,261644,23,388562,24,395298
E07000047,West Devon,193,12.05968699,53.2,54385,0.004486531,0.003548773,221.746566,17.846,0.0044,22544.13,8.269058588,20,152.0466781,193,1065068,16,879529,4,770967,19,981940,19,981940
E07000202,Ipswich,202,37.59926343,58.26,135600,0.002087021,0.001489676,277.2807038,26.093,0.3079,30868.92,20.7208546,195,152.8086622,194,782652,38,358343,12,155952,40,435821,42,439821
E07000178,Oxford,391,432.1327701,29.73,159574,0.003891611,0.002450274,2708.03997,17.946,0.1134,28497.74,24.49793888,200,153.5208673,195,1221446,14,648825,7,655573,15,725125,15,725125
E07000062,Hastings,124,20.8575918,54.88,91497,0.001847055,0.001355236,227.959297,33.114,0.403,32408.28,14.14975021,140,154.6471492,196,6670315.23,17,159015,7,66140,18,273391,18,273391
E07000053,Weymouth and Portland,114,5.976887281,61.04,65166,0.002194396,0.001749379,91.71787866,23.573,0.2073,30967.65,10.10522388,46,155.0689605,197,1397597,37,1920492,15,1742914,44,2418833,44,2418833
E07000122,Pendle,96,8.354274113,63.15,90111,0.001320593,0.001065353,92.71092445,29.62,0.3972,31472.43,14.10683125,139,156.5494917,198,1466033,20,33426162,13,34095576,26,33711332,31,34412385
E07000027,Barrow-in-Furness,83,6.911474897,60.62,67515,0.001466341,0.001229356,102.3694719,31.4,0.3794,32609.2,10.71536036,64,158.7108103,199,4502034,20,180669,5,48034,29,405071,29,405071
E07000103,Watford,100,12.2980096,50.27,96403,0.001815296,0.001037312,127.5687437,15.723,0.0306,24973.26,15.81593914,166,164.0606531,200,2117208,5,29550,24,307226,12,483899,40,523038
E07000117,Burnley,80,27.58055935,66.61,87371,0.001190326,0.000915636,315.671783,36.05,0.4843,32639.08,15.36717899,158,175.8842063,201,2459872.5,24,2231303,77,3261944.23,53,5702770,118,6670315.23
E09000032,Wandsworth,187,32.22455096,24.97,314544,0.001917061,0.000594511,102.4484681,18.295,0.0716,27081.7,182.3300446,264,579.664672,202,1716837,11,575316,26,1033821,20,1221916,39,1358100
E06000040,Windsor and Maidenhead,277,102.1706646,46.1,147708,0.003066862,0.001875322,691.7070477,8.857,0.0014,19539.76,86.04472385,208,582.5325903,203,41284,12,1602768,22,1222171,15,2031241,38,2170909.9
E06000014,York,349,44.85007271,41.96,206856,0.002934408,0.001687164,216.8178477,12.219,0.0591,26548.36,123.5235768,222,597.1476621,204,2685870,12,96037,22,2025206,19,2063164,34,2183447
E09000026,Redbridge,182,41.07642171,46.03,296793,0.001637505,0.000613222,138.4009114,20.242,0.0841,27349.78,186.3380495,266,627.8384244,205,2084569,26,441293,16,385817.82,33,894819,38,953069.82
E09000006,Bromley,274,22.94744067,49.35,324857,0.002117855,0.000843448,70.63859073,15.164,0.0986,28696.08,204.8622123,274,630.6227426,206,1152520,15,112568,8,45327,20,151365,23,167365
E08000009,Trafford,179,56.11849355,42.31,233288,0.001877508,0.000767292,240.5545658,15.388,0.1021,29199.11,148.6553337,243,637.2180897,207,108186,40,1821000,21,1697215,47,2271651,49,2324271
E09000004,Bexley,164,18.62791523,62.95,242142,0.001478471,0.000677289,76.92971575,16.17,0.0709,26868.11,157.7798254,249,651.6004055,208,982494,26,185741,16,833674,35,1023516,35,1023516
E09000017,Hillingdon,243,31.60327714,56.37,297735,0.001605455,0.000816162,106.1456568,18.108,0.0741,26163.05,194.5063118,271,653.2866872,209,563533,10,76949,6,33582,10,76949,11,77449
E06000007,Warrington,203,18.38291916,54.27,207695,0.001569609,0.000977395,88.50920417,19.312,0.1849,30962.25,136.4175743,233,656.8168434,210,1654603,8,67662,2,29160,9,457701,10,478701
E06000030,Swindon,170,8.837619717,54.66,217160,0.001648554,0.000782833,40.69635162,17.857,0.1459,30018.55,143.1371487,237,659.1322007,211,587621,13,996189,10,1127176,21,1638744,21,1638744
E06000022,Bath and North East Somerset,335,47.53076367,42.15,184874,0.003158908,0.001812045,257.0981516,12.094,0.0421,25352.82,122.1065588,219,660.485297,212,2934087,22,1836432,13,1761611,26,1952416,27,1960916
E09000018,Hounslow,166,15.59577309,48.94,268770,0.001562674,0.000617628,58.02646534,22.469,0.114,27816.5,178.5868732,261,664.4598475,213,46937,11,83693,4,30450,16,116411,17,176117
E06000032,Luton,106,23.74093746,56.55,214710,0.001425178,0.000493689,110.5721087,27.577,0.3138,30209.53,143.6812947,238,669.1877169,214,500860,8,507152,2,18740,10,547162,10,547162
E08000034,Kirklees,443,58.15193272,54.67,434321,0.001480472,0.001019983,133.891598,23.964,0.2514,30776.94,290.8267532,314,669.6124599,215,314275,16,488558,10,517240,24,961401,25,967901
E06000035,Medway,266,29.17463928,64.08,276492,0.001414146,0.000962053,105.517119,22.332,0.1964,30464.13,185.3041538,265,670.1971623,216,5424501,9,488756,4,28975,11,497847,12,509292
E06000029,Poole,97,11.43830575,58.17,150577,0.001593869,0.000644189,75.96316669,15.219,0.0615,26641.2,101.148049,210,671.7363807,217,4614725,7,710470,3,65707,10,775770,10,775770
E09000016,Havering,155,11.35221671,69.66,249085,0.001457334,0.000622278,45.57567381,17.876,0.1003,28130.94,169.584424,254,680.8295321,218,88984,11,279634,7,305038,13,352334,13,352334
E06000025,South Gloucestershire,341,30.63831426,52.68,274661,0.002013391,0.00124153,111.549562,11.358,0.0104,22791.91,187.2251952,267,681.6591915,219,405071,2,19537,,,3,51368,3,51368
E06000054,Wiltshire,1333,104.6808453,52.49,486093,0.003818199,0.002742274,215.3514766,13.466,0.036,25149.75,332.4811292,317,683.9866635,220,1037105.86,14,693073,20,1270184,29,1500430,29,1500430
E06000049,Cheshire East,353,29.58026921,51.18,375392,0.002213686,0.00094035,78.79834735,14.132,0.0851,28462.37,257.1802966,303,685.0979685,221,61068,17,902304,8,2964703,22,3505051,22,3505051
E08000029,Solihull,233,44.06413763,56.16,210445,0.001943501,0.001107178,209.3855289,17.238,0.1711,31358.52,144.2050024,239,685.2384347,222,115293,9,74122,8,290500,15,445860,15,445860
E06000036,Bracknell Forest,118,49.46529648,53.94,118982,0.001748164,0.000991747,415.737645,10.462,0.0031,20267.26,81.94435483,206,688.7121987,223,2691169,8,469280,11,647404,19,959330,23,1482178
E06000039,Slough,67,4.953016572,54.33,145734,0.001008687,0.000459742,33.986692,22.873,0.1118,27017,100.4271022,209,689.1123705,224,3110367,11,982616,10,986179,18,1362842,19,1382842
E06000028,Bournemouth,123,17.80538767,54.88,194516,0.001557712,0.000632339,91.53687959,21.847,0.1742,30164.17,134.5348908,230,691.6392009,225,4283314,3,168134,8,916881,11,1090089,14,1095089
E08000035,Leeds,698,173.897745,49.69,774060,0.001523138,0.000901739,224.6566739,26.623,0.3135,32265.66,536.174986,325,692.678844,226,167365,4,30739,4,83000,7,63739,8,113739
E09000003,Barnet,381,93.14938362,37.77,379691,0.00435354,0.001003448,245.3294485,17.813,0.0861,27378.89,263.2425506,307,693.3073225,227,2095658,13,965053,17,922862,16,1114119,24,1153188
E06000041,Wokingham,277,68.9181339,43.31,160409,0.002755456,0.001726836,429.6400694,5.652,0,15515.21,111.3895164,212,694.4093935,228,395298,5,39989,12,391239,16,481247,22,531232
E09000015,Harrow,232,54.28323842,45.37,247130,0.002399547,0.000938777,219.6545884,14.302,0.0245,24401.09,171.7019554,256,694.7839412,229,455017,10,621310,12,712944,18,843144,22,982494
E06000011,East Riding of Yorkshire,601,26.15594295,60.4,336685,0.002313735,0.001785051,77.68668919,15.792,0.0916,29370.34,234.1406542,293,695.4294198,230,13046988,2,18850,4,24000,3,27510,9,88984
E06000042,Milton Keynes,268,24.21582003,51.41,261762,0.002154629,0.001023831,92.51083056,18.029,0.1285,30048.71,182.0517189,263,695.485666,231,652426,6,52536,4,49814,9,179966,10,204966
E06000034,Thurrock,132,16.14791881,72.28,165184,0.00127131,0.000799109,97.75716056,21.603,0.1323,29008.75,115.0560263,215,696.532511,232,3493828,4,436896,4,456850,9,917473,12,931593
E06000015,Derby,187,22.69127217,57.22,254251,0.001455255,0.000735494,89.24752379,27.79,0.3365,32078.24,177.9312249,259,699.825074,233,882956,3,19789,6,99510,7,205217,10,222446
E06000013,North Lincolnshire,203,7.904481269,66.3,169820,0.001607585,0.001195383,46.54623289,21.363,0.1874,31014.27,119.1760439,217,701.7786121,234,1468177,10,88067,14,142459,14,204253,20,283282
E06000056,Central Bedfordshire,220,8.059830064,56.13,274022,0.002620228,0.000802855,29.41307656,12.201,0.0402,25498.55,193.0895747,269,704.6498993,235,138326,4,37943,5,111276,7,60982,9,150982
E08000027,Dudley,262,22.19849826,67.6,316464,0.001431442,0.000827898,70.14541389,22.958,0.2329,30827.61,223.1469257,287,705.1257827,236,1187049,16,144155,4,39404,17,194155,17,194155
E08000002,Bury,159,13.83949697,54.12,187884,0.001777693,0.000846267,73.65979525,21.769,0.1976,30877.23,132.5786297,229,705.6408726,237,170117,22,669559,9,681523,30,1055858,31,1065068
E06000045,Southampton,158,55.36752476,53.8,249537,0.00141462,0.000633173,221.8810227,26.878,0.2675,31309.92,176.2121763,257,706.1565071,238,887269,20,2879768,10,4208550,33,4614725,33,4614725
E06000044,Portsmouth,120,37.77372189,58.08,211758,0.001341154,0.000566685,178.3815577,27.054,0.2436,31896.74,149.6626877,245,706.7628505,239,891999,23,848966,11,819383,31,1165428,32,1170428
E06000051,Shropshire,822,100.4376894,56.87,311380,0.003587257,0.002639861,322.5566491,16.689,0.041,25607.96,220.188185,283,707.1365695,240,78661,23,202453,16,395463,38,763256,41,894256
E08000010,Wigan,173,15.45075591,63.9,322022,0.000850874,0.00053723,47.98043584,24.857,0.2814,31571.14,229.0192436,289,711.1912962,241,366174,6,51907,7,72009,11,97691,11,97691
E06000024,North Somerset,322,14.38597883,52.17,209944,0.002391114,0.001533742,68.52293388,15.783,0.1103,30439.06,149.4067132,244,711.6503125,242,1424545,7,47401,8,207479,18,428255,18,428255
E06000033,Southend-on-Sea,183,22.85151585,58.08,178702,0.001566854,0.001024051,127.8749866,24.516,0.2544,31443.65,127.181107,227,711.6938087,243,1133060,10,82917,7,100355,16,266135,17,326135
E08000036,Wakefield,242,51.52434292,66.36,333759,0.001075626,0.000725074,154.3758907,26.892,0.3081,31627.66,237.6179872,295,711.9448081,244,197885,3,383500,1,363500,4,483500,4,483500
E09000024,Merton,157,21.6962014,37.06,204565,0.002141129,0.000767482,106.0601833,14.93,0.0446,25751.35,145.7723798,241,712.5968753,245,1358100,7,42475,10,638741,20,810108,20,810108
E09000010,Enfield,238,34.00432219,44.18,328433,0.001635037,0.000724653,103.5350351,26.994,0.3196,30527.56,234.5199977,294,714.0573502,246,1126939,9,151121,8,850240,15,857512,17,908512
E08000026,Coventry,232,48.06186401,55.6,345385,0.001424497,0.000671714,139.1544624,28.107,0.3189,32041.03,246.7451972,297,714.4062342,247,2324271,10,85286,14,435531,20,440526,22,549785
E06000031,Peterborough,208,23.7539284,60.89,193980,0.001732137,0.001072275,122.4555542,27.659,0.3596,30952.2,139.5771194,234,719.5438674,248,547162,6,51780,5,36500,8,463499,9,473499
E08000033,Calderdale,266,22.60688395,55.68,208402,0.001837794,0.001276379,108.4772888,24.607,0.2505,31554.94,150.3971738,246,721.6685723,249,1389740.5,25,628486,19,512887,28,998402,28,998402
E06000004,Stockton-on-Tees,120,22.03582354,61.73,194803,0.00116528,0.000616007,113.118502,24.625,0.2799,32202.56,141.0499055,236,724.0643394,250,6246801.06,6,38896,3,69180,9,108186,9,108186
E09000021,Kingston upon Thames,140,24.86163141,38.39,173525,0.002005475,0.0008068,143.2740609,11.125,0.0132,21320.23,125.8412036,225,725.2050344,251,2160869,23,1031349,18,763771,31,3144458,33,3181320
E09000008,Croydon,265,41.2903482,45.71,379031,0.001960262,0.000699151,108.9365994,23.643,0.2138,29514.5,275.2968683,312,726.3175527,252,13649333,28,377332,13,579802,31,767332,31,767332
E09000002,Barking and Dagenham,84,3.184951825,62.44,201979,0.001599176,0.000415885,15.76872757,34.635,0.5271,29859.66,146.9580008,242,727.590496,253,204966,24,1002275,15,898423,30,3131973,30,3131973
E06000020,Telford and Wrekin,171,20.21702552,63.22,171159,0.001495685,0.000999071,118.11839,24.852,0.2598,31579.63,124.774696,223,728.9987439,254,739723,11,355932,8,488424,17,734723,18,739723
E08000017,Doncaster,259,25.1020768,68.96,304813,0.001151526,0.000849701,82.35238261,29.051,0.3569,31729.27,222.5501096,285,730.1201379,255,445860,14,462391,10,533241,23,1399083,26,1469063
E06000050,Cheshire West and Chester,354,27.39424223,50.68,333917,0.002548538,0.001060144,82.03907627,18.086,0.1571,30341.62,245.3905522,296,734.8848732,256,1998105,18,769110,6,419656,22,1045003,22,1045003
E06000026,Plymouth,245,40.57913425,59.94,262712,0.001537806,0.00093258,154.4624313,26.643,0.3,31740.58,193.7179461,270,737.3776078,257,967901,10,95962,6,204401,13,338667,13,338667
E06000037,West Berkshire,315,54.3595048,48.22,156020,0.003300859,0.002018972,348.4136957,10.242,0.0106,20683.13,115.0886227,216,737.6530105,258,509292,129,2513767,37,1851209,150,4144022,152,4164022
E08000007,Stockport,202,52.73632607,47.67,288733,0.001600094,0.000699608,182.6473803,19.108,0.1486,31136.43,213.4068506,279,739.1148591,259,338667,29,292466,20,573024,46,3025288,47,3125288
E09000009,Ealing,213,54.02569494,39.6,343059,0.001821844,0.000620884,157.4822259,23.585,0.1949,29338.89,255.0550482,302,743.4728376,260,2841242,184,8436310,143,9401183.82,271,15699553,289,19224394.82
E08000032,Bradford,539,59.95661027,54.23,531176,0.001558805,0.00101473,112.8752245,33.168,0.4498,32407.85,396.3488649,319,746.172389,261,3174880.9,32,1000146,10,584307,44,1221446,44,1221446
E08000016,Barnsley,191,13.24909989,68.31,239319,0.001128201,0.000798098,55.36167162,29.568,0.3662,31798.97,178.7931188,262,747.0911996,262,2026531,33,1979444,24,2431913,50,2924587,51,2934087
E08000001,Bolton,193,118.1134521,58.29,281619,0.001288976,0.000685323,419.4086766,28.42,0.3775,31900.23,211.7249445,278,751.8134235,263,1170428,89,1296113,33,1289346,115,2638479,117,2691169
E08000019,Sheffield,592,140.5781368,50.99,569737,0.001688498,0.001039076,246.7421579,27.568,0.343,32188.9,428.5990953,321,752.2753398,264,2464434,38,1261693,15,2179324,51,2841242,51,2841242
E09000031,Waltham Forest,147,33.0586886,40.9,271170,0.00157097,0.000542095,121.9113051,30.19,0.3252,30404.3,205.6397949,276,758.3427182,265,1482178,38,621855,10,749266,45,1155629,46,1175629
E09000029,Sutton,144,22.19047169,53.72,200145,0.001863649,0.000719478,110.8719763,14.579,0.0606,26912.98,152.3985245,248,761.4405781,266,3809211.5,54,2482985,35,2063074,70,2990838,89,3137735
E06000043,Brighton and Hove,249,85.86747747,31.38,285276,0.002145291,0.000872839,300.9979019,23.441,0.2018,31364.98,217.3625843,281,761.9378577,267,931593,65,2122173,25,1835641,76,2411178,77,2484178
